sim,population,hospitals,mobilehomes,psubstations,tors
683,44368,0,275,21,16
684,2896,0,0,4,18
685,6752,0,175,9,22
686,9968,1,0,9,19
687,28576,0,25,5,12
688,15968,1,50,3,33
689,83184,0,75,18,21
690,10592,0,25,4,18
691,39904,0,75,14,20
692,80608,4,150,45,80
693,35600,2,225,4,13
694,17680,0,50,3,21
695,13536,0,0,6,16
696,16896,0,50,1,14
697,11456,0,75,10,17
698,15680,1,0,7,29
699,11056,1,25,9,13
700,27232,0,50,9,14
701,26576,2,0,5,17
702,62400,3,125,22,39
703,133648,6,300,28,21
704,18896,0,0,2,21
705,5472,0,125,10,15
706,14816,0,100,1,15
707,14992,0,625,7,12
708,5840,0,0,9,22
709,24688,3,250,38,45
710,2528,1,0,3,9
711,19264,0,200,16,17
712,21184,1,225,12,25
713,2112,1,0,5,17
714,98640,3,575,25,34
715,165104,8,1000,34,23
716,20496,3,475,23,32
717,7904,0,0,4,8
718,17408,2,200,8,32
719,5232,0,150,10,9
720,14560,1,0,6,19
721,1872,1,0,5,10
722,44960,3,0,12,13
723,3952,0,25,3,9
724,89216,10,300,44,22
725,9088,0,125,9,23
726,1616,0,0,8,14
727,5792,0,25,4,12
728,3328,0,0,2,8
729,20320,0,300,8,10
730,13616,0,175,13,27
731,27248,0,25,5,20
732,51456,1,0,17,14
733,9808,0,0,4,11
734,54496,3,100,15,20
735,19792,0,125,16,25
736,11856,0,75,23,13
737,98672,4,50,12,10
738,33296,2,50,12,25
739,1488,0,0,4,12
740,17424,1,125,24,44
741,18176,2,50,7,11
742,15776,1,25,12,23
743,35536,0,200,12,33
744,2896,0,0,0,10
745,10240,0,0,7,22
746,12720,0,250,5,10
747,8736,0,50,6,19
748,95152,2,425,13,20
749,26128,1,100,16,38
750,34112,3,650,3,24
751,1792,1,0,5,13
752,20320,0,0,8,30
753,59344,6,750,22,22
754,29680,3,50,19,24
755,3664,0,0,7,16
756,39168,0,0,10,33
757,8368,0,0,7,25
758,40688,3,525,12,31
759,21504,0,25,17,27
760,22320,0,50,11,38
761,26800,0,25,14,18
762,22176,1,50,22,27
763,116736,4,350,25,52
764,47024,0,75,16,23
765,13600,1,25,1,15
766,20208,0,350,13,22
767,38048,3,225,22,45
768,55824,6,225,30,28
769,29552,3,100,18,19
770,896,0,25,5,10
771,11712,1,0,5,19
772,147248,8,725,34,40
773,8144,0,0,15,12
774,26208,2,75,12,16
775,12656,2,25,18,13
776,18240,0,250,3,13
777,7904,2,100,7,23
778,7280,1,0,8,21
779,4240,0,0,3,11
780,29072,2,0,14,27
781,9328,0,75,5,16
782,24416,0,300,20,33
783,66368,5,250,13,35
784,7680,0,0,3,12
785,16128,0,0,0,6
786,26688,1,0,18,29
787,58560,2,425,9,28
788,33840,0,100,14,21
789,94432,1,475,19,16
790,63424,1,150,17,23
791,99456,4,50,24,25
792,12480,1,225,10,7
793,36080,2,525,19,29
794,19472,0,50,17,22
795,113920,10,425,35,28
796,24752,0,0,8,44
797,30816,0,0,15,36
798,127632,4,50,21,33
799,6544,1,0,3,13
800,15344,0,125,10,25
801,3072,0,0,8,7
802,49968,2,550,21,48
803,64768,0,275,16,30
804,55344,2,125,26,23
805,3760,0,0,4,16
806,20688,0,25,9,32
807,25504,0,200,10,16
808,16656,4,825,22,18
809,43792,1,0,8,20
810,17504,6,175,20,13
811,33328,1,150,12,23
812,4624,0,25,4,28
813,4304,1,0,5,17
814,33328,0,225,13,15
815,27248,1,75,5,27
816,23248,2,50,7,39
817,25024,0,0,21,32
818,3824,0,0,2,9
819,27024,3,175,6,26
820,4000,0,0,3,11
821,9776,1,100,10,18
822,21696,0,25,20,35
823,25920,2,150,11,25
824,56592,0,350,9,20
825,19088,1,75,9,21
826,40208,2,625,19,24
827,80928,2,50,15,30
828,10176,0,75,4,23
829,8032,1,250,5,12
830,14672,1,25,3,13
831,92208,0,0,17,57
832,32032,1,0,10,14
833,18752,2,175,11,44
834,5888,1,25,5,8
835,19552,0,350,12,29
836,5456,0,150,5,18
837,20064,0,125,6,18
838,105936,1,425,18,30
839,20432,1,275,18,32
840,37184,3,200,10,18
841,3952,0,0,4,11
842,71440,5,700,43,80
843,121856,2,175,20,27
844,22928,2,275,12,19
845,5872,0,100,6,14
846,4048,0,200,8,12
847,14176,1,475,24,36
848,69744,2,300,19,49
849,56384,6,600,23,22
850,14608,0,25,8,16
851,8176,0,0,4,9
852,41232,1,950,8,14
853,37136,0,0,6,14
854,7568,1,200,3,12
855,8064,0,25,5,17
856,80736,4,50,30,46
857,53008,1,250,10,20
858,43152,1,0,9,25
859,51712,2,100,12,22
860,86320,4,400,18,29
861,816,0,0,0,9
862,10128,1,0,4,20
863,5040,1,0,9,24
864,69856,2,550,45,69
865,26096,1,0,14,16
866,8160,2,25,10,27
867,4976,0,25,7,19
868,16304,3,25,13,36
869,17760,1,50,7,14
870,20640,0,25,7,18
871,24608,1,25,10,21
872,76432,8,350,39,28
873,148032,6,250,36,23
874,14656,3,225,14,17
875,15456,0,25,3,18
876,14304,0,0,2,22
877,29136,2,725,18,36
878,10800,0,50,10,19
879,4944,0,0,7,9
880,4608,0,225,7,17
881,2368,0,0,0,7
882,16736,0,150,3,13
883,29552,2,175,13,23
884,23120,0,50,20,36
885,8448,1,25,3,11
886,96,0,0,0,3
887,7952,1,75,5,12
888,14320,1,0,12,19
889,1568,0,0,3,9
890,15712,0,0,8,20
891,8704,0,500,12,18
892,123296,4,500,14,44
893,11392,0,325,9,30
894,12688,0,175,7,22
895,64944,0,700,16,35
896,3760,0,0,8,13
897,22384,5,100,13,19
898,17168,0,25,9,21
899,20528,0,25,2,12
900,12032,0,25,4,28
901,7600,0,25,8,14
902,22048,1,350,10,17
903,8032,0,175,5,15
904,21680,0,0,17,17
905,49776,3,250,30,77
906,5664,0,75,14,28
907,36016,3,600,16,33
908,6512,1,0,13,32
909,6384,1,25,5,16
910,5200,1,0,7,16
911,3792,0,175,4,10
912,83056,7,175,39,25
913,14368,0,50,6,14
914,37808,6,150,43,29
915,17200,3,275,8,15
916,33792,0,100,15,30
917,5456,0,25,3,15
918,11040,1,25,8,20
919,7616,0,50,11,14
920,6880,0,50,3,18
921,74208,3,200,7,15
922,22352,1,25,8,6
923,27088,0,250,2,15
924,19904,1,75,13,25
925,44992,1,425,14,28
926,6608,0,25,5,11
927,17888,0,50,13,33
928,24720,0,0,8,18
929,42736,0,650,15,32
930,31824,4,0,14,14
931,17728,1,325,17,20
932,43008,5,475,22,54
933,21008,2,175,19,39
934,16848,1,50,9,18
935,27344,0,125,5,12
936,70880,4,650,18,18
937,21264,1,325,15,25
938,3920,0,150,5,13
939,29840,1,0,1,12
940,15104,0,150,2,19
941,69632,2,525,18,14
942,7776,1,250,4,11
943,19376,0,25,7,19
944,52496,1,300,25,49
945,20000,0,75,20,42
946,14576,0,225,8,34
947,6912,0,0,2,12
948,22080,2,0,11,14
949,2368,0,0,0,12
950,69312,3,475,26,47
951,6272,0,0,8,18
952,38608,2,550,8,14
953,13792,0,75,12,26
954,48064,1,75,19,32
955,17840,2,225,17,24
956,68480,8,200,28,25
957,155184,8,550,27,33
958,39408,0,175,9,21
959,13440,0,175,11,20
960,29328,1,300,16,33
961,66528,0,225,29,34
962,12064,1,350,22,26
963,12016,0,0,2,12
964,8592,0,25,8,16
965,60048,2,175,17,42
966,41072,1,325,29,89
967,10784,0,100,3,18
968,15136,1,25,3,14
969,14480,2,75,13,15
970,22784,1,125,13,18
971,7440,0,0,10,21
972,45600,1,375,43,55
973,42976,5,125,12,11
974,18144,1,150,21,21
975,41168,1,575,16,39
976,6192,0,0,10,14
977,81968,4,450,18,36
978,73664,1,100,22,40
979,28240,3,125,17,32
980,17184,1,150,6,15
981,7328,0,125,6,16
982,30128,1,225,3,16
983,24432,1,0,8,12
984,12400,0,0,6,18
985,31856,1,150,15,26
986,4944,0,0,7,21
987,17504,1,100,17,22
988,59056,0,350,4,4
989,14480,2,25,7,20
990,11472,0,75,6,28
991,11840,0,0,12,19
992,31648,4,150,14,33
993,8432,0,0,3,16
994,6288,0,0,2,16
995,67536,5,275,40,74
996,9376,1,25,2,16
997,17616,1,50,1,12
998,25296,1,75,18,26
999,34176,2,150,6,22
1000,36768,0,0,7,12
1001,18208,0,0,8,13
1002,3184,1,25,8,17
1003,22032,2,50,9,28
1004,2512,0,150,4,6
1005,28208,7,325,26,30
1006,156624,9,1575,42,55
1007,20496,0,0,1,5
1008,12752,2,75,12,28
1009,28352,0,0,7,11
1010,22832,3,125,17,30
1011,75296,4,650,14,23
1012,13152,0,50,7,23
1013,49120,0,200,20,64
1014,8784,0,25,5,12
1015,17296,1,0,12,25
1016,5552,0,0,14,19
1017,38048,1,100,17,40
1018,10160,3,175,14,14
1019,31024,1,375,19,27
1020,15424,2,50,9,23
1021,4512,0,0,9,16
1022,1296,0,0,3,6
1023,9120,0,250,4,14
1024,13280,0,0,4,14
1025,20032,0,275,18,18
1026,5616,1,75,3,8
1027,13440,1,125,11,12
1028,26816,3,200,10,15
1029,92192,11,350,30,30
1030,36304,0,200,6,10
1031,103088,7,1150,20,34
1032,128096,3,375,16,23
1033,69184,0,200,10,17
1034,11552,1,0,3,18
1035,20992,1,0,6,34
1036,12032,1,225,10,14
1037,1840,0,25,2,12
1038,9120,1,50,9,10
1039,9520,1,150,13,21
1040,4464,0,0,3,9
1041,18368,0,25,11,30
1042,110144,9,1400,37,46
1043,5840,0,25,5,15
1044,76336,0,700,6,12
1045,19280,1,125,30,20
1046,1856,0,0,2,11
1047,24368,0,0,11,19
1048,3568,0,50,8,16
1049,9856,2,75,8,22
1050,60112,1,150,14,30
1051,19952,1,425,6,12
1052,83136,3,225,21,42
1053,9600,1,225,7,19
1054,4320,0,0,6,11
1055,85504,2,125,22,16
1056,11952,0,50,11,17
1057,27104,1,25,14,18
1058,3936,0,0,12,15
1059,17696,0,0,9,8
1060,18160,1,600,11,23
1061,79072,1,750,22,32
1062,175952,5,625,36,35
1063,3648,1,0,8,15
1064,1616,1,0,12,9
